"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","AT",2020-01-01,9.1
"TOTAL","TOTAL","PC","T","TOTAL","BG",2020-01-01,11
"TOTAL","TOTAL","PC","T","TOTAL","DK",2020-01-01,16.8
"TOTAL","TOTAL","PC","T","TOTAL","FI",2020-01-01,4.5
"TOTAL","TOTAL","PC","T","TOTAL","HU",2020-01-01,20.4
"TOTAL","TOTAL","PC","T","TOTAL","NL",2020-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","RO",2020-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","AT",2019-01-01,9.4
"TOTAL","TOTAL","PC","T","TOTAL","BE",2019-01-01,16.7
"TOTAL","TOTAL","PC","T","TOTAL","BG",2019-01-01,11.6
"TOTAL","TOTAL","PC","T","TOTAL","CH",2019-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","CY",2019-01-01,31.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2019-01-01,7.3
"TOTAL","TOTAL","PC","T","TOTAL","DE",2019-01-01,12
"TOTAL","TOTAL","PC","T","TOTAL","DK",2019-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","EA",2019-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2019-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","EE",2019-01-01,13.8
"TOTAL","TOTAL","PC","T","TOTAL","EL",2019-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","ES",2019-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","EU",2019-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2019-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2019-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","FI",2019-01-01,4.1
"TOTAL","TOTAL","PC","T","TOTAL","FR",2019-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","HR",2019-01-01,10.2
"TOTAL","TOTAL","PC","T","TOTAL","HU",2019-01-01,22.3
"TOTAL","TOTAL","PC","T","TOTAL","IE",2019-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","IT",2019-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","LT",2019-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","LU",2019-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","LV",2019-01-01,19.3
"TOTAL","TOTAL","PC","T","TOTAL","MT",2019-01-01,7.6
"TOTAL","TOTAL","PC","T","TOTAL","NL",2019-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","PL",2019-01-01,10.8
"TOTAL","TOTAL","PC","T","TOTAL","PT",2019-01-01,24.4
"TOTAL","TOTAL","PC","T","TOTAL","RO",2019-01-01,9.4
"TOTAL","TOTAL","PC","T","TOTAL","SE",2019-01-01,7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2019-01-01,20.6
"TOTAL","TOTAL","PC","T","TOTAL","SK",2019-01-01,5.7
"TOTAL","TOTAL","PC","T","TOTAL","AT",2018-01-01,10.4
"TOTAL","TOTAL","PC","T","TOTAL","BE",2018-01-01,17.9
"TOTAL","TOTAL","PC","T","TOTAL","BG",2018-01-01,13
"TOTAL","TOTAL","PC","T","TOTAL","CH",2018-01-01,9.8
"TOTAL","TOTAL","PC","T","TOTAL","CY",2018-01-01,30.2
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2018-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","DE",2018-01-01,13.4
"TOTAL","TOTAL","PC","T","TOTAL","DK",2018-01-01,16.4
"TOTAL","TOTAL","PC","T","TOTAL","EA",2018-01-01,14.1
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2018-01-01,14.1
"TOTAL","TOTAL","PC","T","TOTAL","EE",2018-01-01,13.6
"TOTAL","TOTAL","PC","T","TOTAL","EL",2018-01-01,12.9
"TOTAL","TOTAL","PC","T","TOTAL","ES",2018-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EU",2018-01-01,13.9
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2018-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2018-01-01,13.6
"TOTAL","TOTAL","PC","T","TOTAL","FI",2018-01-01,4.6
"TOTAL","TOTAL","PC","T","TOTAL","FR",2018-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","HR",2018-01-01,11.2
"TOTAL","TOTAL","PC","T","TOTAL","HU",2018-01-01,22.5
"TOTAL","TOTAL","PC","T","TOTAL","IE",2018-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","IT",2018-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","LT",2018-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","LU",2018-01-01,18.3
"TOTAL","TOTAL","PC","T","TOTAL","LV",2018-01-01,23.5
"TOTAL","TOTAL","PC","T","TOTAL","MT",2018-01-01,7.1
"TOTAL","TOTAL","PC","T","TOTAL","NL",2018-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","PL",2018-01-01,11.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2018-01-01,26.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2018-01-01,10.1
"TOTAL","TOTAL","PC","T","TOTAL","SE",2018-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2018-01-01,22.7
"TOTAL","TOTAL","PC","T","TOTAL","SK",2018-01-01,5.1
"TOTAL","TOTAL","PC","T","TOTAL","AT",2017-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","BE",2017-01-01,18.4
"TOTAL","TOTAL","PC","T","TOTAL","BG",2017-01-01,12.2
"TOTAL","TOTAL","PC","T","TOTAL","CH",2017-01-01,12.2
"TOTAL","TOTAL","PC","T","TOTAL","CY",2017-01-01,29.3
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2017-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","DE",2017-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","DK",2017-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","EA",2017-01-01,13.4
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2017-01-01,13.4
"TOTAL","TOTAL","PC","T","TOTAL","EE",2017-01-01,13.9
"TOTAL","TOTAL","PC","T","TOTAL","EL",2017-01-01,13.5
"TOTAL","TOTAL","PC","T","TOTAL","ES",2017-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","EU",2017-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2017-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2017-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","FI",2017-01-01,4.2
"TOTAL","TOTAL","PC","T","TOTAL","FR",2017-01-01,11.1
"TOTAL","TOTAL","PC","T","TOTAL","HR",2017-01-01,11.4
"TOTAL","TOTAL","PC","T","TOTAL","HU",2017-01-01,24.8
"TOTAL","TOTAL","PC","T","TOTAL","IE",2017-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","IT",2017-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","LT",2017-01-01,15.7
"TOTAL","TOTAL","PC","T","TOTAL","LU",2017-01-01,17.4
"TOTAL","TOTAL","PC","T","TOTAL","LV",2017-01-01,22.8
"TOTAL","TOTAL","PC","T","TOTAL","MT",2017-01-01,8.4
"TOTAL","TOTAL","PC","T","TOTAL","NL",2017-01-01,13.5
"TOTAL","TOTAL","PC","T","TOTAL","PL",2017-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","PT",2017-01-01,25.5
"TOTAL","TOTAL","PC","T","TOTAL","RO",2017-01-01,11.1
"TOTAL","TOTAL","PC","T","TOTAL","SE",2017-01-01,7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2017-01-01,22
"TOTAL","TOTAL","PC","T","TOTAL","SK",2017-01-01,6.7
"TOTAL","TOTAL","PC","T","TOTAL","AT",2016-01-01,11.2
"TOTAL","TOTAL","PC","T","TOTAL","BE",2016-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2016-01-01,12.3
"TOTAL","TOTAL","PC","T","TOTAL","CH",2016-01-01,12.7
"TOTAL","TOTAL","PC","T","TOTAL","CY",2016-01-01,27.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2016-01-01,8.2
"TOTAL","TOTAL","PC","T","TOTAL","DE",2016-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","DK",2016-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EA",2016-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2016-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EE",2016-01-01,13.9
"TOTAL","TOTAL","PC","T","TOTAL","EL",2016-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","ES",2016-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EU",2016-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2016-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2016-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","FI",2016-01-01,4.7
"TOTAL","TOTAL","PC","T","TOTAL","FR",2016-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","HR",2016-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","HU",2016-01-01,26.7
"TOTAL","TOTAL","PC","T","TOTAL","IE",2016-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","IT",2016-01-01,21
"TOTAL","TOTAL","PC","T","TOTAL","LT",2016-01-01,18.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2016-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","LV",2016-01-01,21.9
"TOTAL","TOTAL","PC","T","TOTAL","MT",2016-01-01,9.1
"TOTAL","TOTAL","PC","T","TOTAL","NL",2016-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","PL",2016-01-01,11.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2016-01-01,30.5
"TOTAL","TOTAL","PC","T","TOTAL","RO",2016-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","SE",2016-01-01,7.4
"TOTAL","TOTAL","PC","T","TOTAL","SI",2016-01-01,23.8
"TOTAL","TOTAL","PC","T","TOTAL","SK",2016-01-01,6.2
"TOTAL","TOTAL","PC","T","TOTAL","AT",2015-01-01,11.7
"TOTAL","TOTAL","PC","T","TOTAL","BE",2015-01-01,18.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2015-01-01,12.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2015-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","CY",2015-01-01,26.5
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2015-01-01,8.9
"TOTAL","TOTAL","PC","T","TOTAL","DE",2015-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","DK",2015-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EA",2015-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2015-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","EE",2015-01-01,13.4
"TOTAL","TOTAL","PC","T","TOTAL","EL",2015-01-01,15.1
"TOTAL","TOTAL","PC","T","TOTAL","ES",2015-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EU",2015-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2015-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2015-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","FI",2015-01-01,4.4
"TOTAL","TOTAL","PC","T","TOTAL","FR",2015-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","HR",2015-01-01,10.9
"TOTAL","TOTAL","PC","T","TOTAL","HU",2015-01-01,25.4
"TOTAL","TOTAL","PC","T","TOTAL","IE",2015-01-01,13.6
"TOTAL","TOTAL","PC","T","TOTAL","IT",2015-01-01,24.1
"TOTAL","TOTAL","PC","T","TOTAL","LT",2015-01-01,17
"TOTAL","TOTAL","PC","T","TOTAL","LU",2015-01-01,14.4
"TOTAL","TOTAL","PC","T","TOTAL","LV",2015-01-01,24.4
"TOTAL","TOTAL","PC","T","TOTAL","MT",2015-01-01,10.1
"TOTAL","TOTAL","PC","T","TOTAL","NL",2015-01-01,15.7
"TOTAL","TOTAL","PC","T","TOTAL","PL",2015-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","PT",2015-01-01,28.1
"TOTAL","TOTAL","PC","T","TOTAL","RO",2015-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","SE",2015-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2015-01-01,26.9
"TOTAL","TOTAL","PC","T","TOTAL","SK",2015-01-01,6.3
"TOTAL","TOTAL","PC","T","TOTAL","AT",2014-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","BE",2014-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","BG",2014-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","CH",2014-01-01,11.3
"TOTAL","TOTAL","PC","T","TOTAL","CY",2014-01-01,25.5
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2014-01-01,9.2
"TOTAL","TOTAL","PC","T","TOTAL","DE",2014-01-01,12.3
"TOTAL","TOTAL","PC","T","TOTAL","DK",2014-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","EA",2014-01-01,16.6
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2014-01-01,16.6
"TOTAL","TOTAL","PC","T","TOTAL","EE",2014-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EL",2014-01-01,13.7
"TOTAL","TOTAL","PC","T","TOTAL","ES",2014-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","EU",2014-01-01,15.7
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2014-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2014-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","FI",2014-01-01,5
"TOTAL","TOTAL","PC","T","TOTAL","FR",2014-01-01,13.4
"TOTAL","TOTAL","PC","T","TOTAL","HR",2014-01-01,11.7
"TOTAL","TOTAL","PC","T","TOTAL","HU",2014-01-01,26.9
"TOTAL","TOTAL","PC","T","TOTAL","IE",2014-01-01,14.5
"TOTAL","TOTAL","PC","T","TOTAL","IT",2014-01-01,25
"TOTAL","TOTAL","PC","T","TOTAL","LT",2014-01-01,18.9
"TOTAL","TOTAL","PC","T","TOTAL","LU",2014-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","LV",2014-01-01,27.5
"TOTAL","TOTAL","PC","T","TOTAL","MT",2014-01-01,10.9
"TOTAL","TOTAL","PC","T","TOTAL","NL",2014-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","PL",2014-01-01,9.2
"TOTAL","TOTAL","PC","T","TOTAL","PT",2014-01-01,32.8
"TOTAL","TOTAL","PC","T","TOTAL","RO",2014-01-01,13.6
"TOTAL","TOTAL","PC","T","TOTAL","SE",2014-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2014-01-01,29.9
"TOTAL","TOTAL","PC","T","TOTAL","SK",2014-01-01,7
"TOTAL","TOTAL","PC","T","TOTAL","AT",2013-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","BE",2013-01-01,18.1
"TOTAL","TOTAL","PC","T","TOTAL","BG",2013-01-01,12.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2013-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","CY",2013-01-01,31.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2013-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","DE",2013-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","DK",2013-01-01,16.6
"TOTAL","TOTAL","PC","T","TOTAL","EA",2013-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2013-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","EE",2013-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","EL",2013-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","ES",2013-01-01,16.7
"TOTAL","TOTAL","PC","T","TOTAL","EU",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2013-01-01,15.7
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","FI",2013-01-01,5.2
"TOTAL","TOTAL","PC","T","TOTAL","FR",2013-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","HR",2013-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","HU",2013-01-01,26.7
"TOTAL","TOTAL","PC","T","TOTAL","IE",2013-01-01,14.3
"TOTAL","TOTAL","PC","T","TOTAL","IT",2013-01-01,22.9
"TOTAL","TOTAL","PC","T","TOTAL","LT",2013-01-01,19.9
"TOTAL","TOTAL","PC","T","TOTAL","LU",2013-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","LV",2013-01-01,27.7
"TOTAL","TOTAL","PC","T","TOTAL","MT",2013-01-01,11.7
"TOTAL","TOTAL","PC","T","TOTAL","NL",2013-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","PL",2013-01-01,10.1
"TOTAL","TOTAL","PC","T","TOTAL","PT",2013-01-01,31.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2013-01-01,16.2
