"hhtyp","incgrp","unit","sex","age","geo","time","share"
"TOTAL","TOTAL","PC","T","TOTAL","SE",2013-01-01,7.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2013-01-01,27
"TOTAL","TOTAL","PC","T","TOTAL","SK",2013-01-01,7.5
"TOTAL","TOTAL","PC","T","TOTAL","AT",2012-01-01,11.8
"TOTAL","TOTAL","PC","T","TOTAL","BE",2012-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","BG",2012-01-01,13.8
"TOTAL","TOTAL","PC","T","TOTAL","CH",2012-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","CY",2012-01-01,30
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2012-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","DE",2012-01-01,13.5
"TOTAL","TOTAL","PC","T","TOTAL","DK",2012-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","EA",2012-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2012-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","EE",2012-01-01,19.4
"TOTAL","TOTAL","PC","T","TOTAL","EL",2012-01-01,14.7
"TOTAL","TOTAL","PC","T","TOTAL","ES",2012-01-01,12
"TOTAL","TOTAL","PC","T","TOTAL","EU",2012-01-01,15.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2012-01-01,15.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2012-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","FI",2012-01-01,6
"TOTAL","TOTAL","PC","T","TOTAL","FR",2012-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","HR",2012-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","HU",2012-01-01,24.7
"TOTAL","TOTAL","PC","T","TOTAL","IE",2012-01-01,13
"TOTAL","TOTAL","PC","T","TOTAL","IT",2012-01-01,21.4
"TOTAL","TOTAL","PC","T","TOTAL","LT",2012-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","LU",2012-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","LV",2012-01-01,28.2
"TOTAL","TOTAL","PC","T","TOTAL","MT",2012-01-01,10.8
"TOTAL","TOTAL","PC","T","TOTAL","NL",2012-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2012-01-01,10.5
"TOTAL","TOTAL","PC","T","TOTAL","PT",2012-01-01,22
"TOTAL","TOTAL","PC","T","TOTAL","RO",2012-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","SE",2012-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2012-01-01,31.5
"TOTAL","TOTAL","PC","T","TOTAL","SK",2012-01-01,8.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2011-01-01,13.9
"TOTAL","TOTAL","PC","T","TOTAL","BE",2011-01-01,21.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2011-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2011-01-01,10.6
"TOTAL","TOTAL","PC","T","TOTAL","CY",2011-01-01,29.8
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2011-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","DE",2011-01-01,13.7
"TOTAL","TOTAL","PC","T","TOTAL","DK",2011-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","EA",2011-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2011-01-01,15.9
"TOTAL","TOTAL","PC","T","TOTAL","EE",2011-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","EL",2011-01-01,15.3
"TOTAL","TOTAL","PC","T","TOTAL","ES",2011-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EU",2011-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2011-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2011-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","FI",2011-01-01,5.7
"TOTAL","TOTAL","PC","T","TOTAL","FR",2011-01-01,10.9
"TOTAL","TOTAL","PC","T","TOTAL","HR",2011-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","HU",2011-01-01,22.1
"TOTAL","TOTAL","PC","T","TOTAL","IE",2011-01-01,11.1
"TOTAL","TOTAL","PC","T","TOTAL","IT",2011-01-01,23.4
"TOTAL","TOTAL","PC","T","TOTAL","LT",2011-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","LU",2011-01-01,15.5
"TOTAL","TOTAL","PC","T","TOTAL","LV",2011-01-01,26
"TOTAL","TOTAL","PC","T","TOTAL","MT",2011-01-01,10.2
"TOTAL","TOTAL","PC","T","TOTAL","NL",2011-01-01,14.6
"TOTAL","TOTAL","PC","T","TOTAL","PL",2011-01-01,11.5
"TOTAL","TOTAL","PC","T","TOTAL","PT",2011-01-01,21.3
"TOTAL","TOTAL","PC","T","TOTAL","RO",2011-01-01,18.1
"TOTAL","TOTAL","PC","T","TOTAL","SE",2011-01-01,8.7
"TOTAL","TOTAL","PC","T","TOTAL","SI",2011-01-01,34.7
"TOTAL","TOTAL","PC","T","TOTAL","SK",2011-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2010-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","BE",2010-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","BG",2010-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","CH",2010-01-01,8.9
"TOTAL","TOTAL","PC","T","TOTAL","CY",2010-01-01,30
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2010-01-01,11.8
"TOTAL","TOTAL","PC","T","TOTAL","DE",2010-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","DK",2010-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2010-01-01,16.4
"TOTAL","TOTAL","PC","T","TOTAL","EE",2010-01-01,18.8
"TOTAL","TOTAL","PC","T","TOTAL","EL",2010-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","ES",2010-01-01,21.8
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2010-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2020",2010-01-01,16.3
"TOTAL","TOTAL","PC","T","TOTAL","FI",2010-01-01,5
"TOTAL","TOTAL","PC","T","TOTAL","FR",2010-01-01,12.5
"TOTAL","TOTAL","PC","T","TOTAL","HR",2010-01-01,19.8
"TOTAL","TOTAL","PC","T","TOTAL","HU",2010-01-01,24.2
"TOTAL","TOTAL","PC","T","TOTAL","IE",2010-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","IT",2010-01-01,20.5
"TOTAL","TOTAL","PC","T","TOTAL","LT",2010-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2010-01-01,17.2
"TOTAL","TOTAL","PC","T","TOTAL","LV",2010-01-01,24.7
"TOTAL","TOTAL","PC","T","TOTAL","MT",2010-01-01,12.1
"TOTAL","TOTAL","PC","T","TOTAL","NL",2010-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2010-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2010-01-01,21.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2010-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","SE",2010-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2010-01-01,32.4
"TOTAL","TOTAL","PC","T","TOTAL","SK",2010-01-01,5.8
"TOTAL","TOTAL","PC","T","TOTAL","AT",2009-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","BE",2009-01-01,15.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2009-01-01,23.9
"TOTAL","TOTAL","PC","T","TOTAL","CH",2009-01-01,8.6
"TOTAL","TOTAL","PC","T","TOTAL","CY",2009-01-01,29.6
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2009-01-01,14.6
"TOTAL","TOTAL","PC","T","TOTAL","DE",2009-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","DK",2009-01-01,7.8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2009-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","EE",2009-01-01,20.2
"TOTAL","TOTAL","PC","T","TOTAL","EL",2009-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","ES",2009-01-01,18.3
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2009-01-01,16
"TOTAL","TOTAL","PC","T","TOTAL","FI",2009-01-01,4.9
"TOTAL","TOTAL","PC","T","TOTAL","FR",2009-01-01,12.6
"TOTAL","TOTAL","PC","T","TOTAL","HU",2009-01-01,14.5
"TOTAL","TOTAL","PC","T","TOTAL","IE",2009-01-01,13.2
"TOTAL","TOTAL","PC","T","TOTAL","IT",2009-01-01,20.9
"TOTAL","TOTAL","PC","T","TOTAL","LT",2009-01-01,21.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2009-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","LV",2009-01-01,25.9
"TOTAL","TOTAL","PC","T","TOTAL","MT",2009-01-01,9.8
"TOTAL","TOTAL","PC","T","TOTAL","NL",2009-01-01,14.2
"TOTAL","TOTAL","PC","T","TOTAL","PL",2009-01-01,17.6
"TOTAL","TOTAL","PC","T","TOTAL","PT",2009-01-01,19.7
"TOTAL","TOTAL","PC","T","TOTAL","RO",2009-01-01,21.7
"TOTAL","TOTAL","PC","T","TOTAL","SE",2009-01-01,6.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2009-01-01,30.6
"TOTAL","TOTAL","PC","T","TOTAL","SK",2009-01-01,6.6
"TOTAL","TOTAL","PC","T","TOTAL","AT",2008-01-01,13.3
"TOTAL","TOTAL","PC","T","TOTAL","BE",2008-01-01,18
"TOTAL","TOTAL","PC","T","TOTAL","BG",2008-01-01,30.4
"TOTAL","TOTAL","PC","T","TOTAL","CH",2008-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","CY",2008-01-01,26.5
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2008-01-01,13.8
"TOTAL","TOTAL","PC","T","TOTAL","DE",2008-01-01,14
"TOTAL","TOTAL","PC","T","TOTAL","DK",2008-01-01,8.7
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2008-01-01,15.8
"TOTAL","TOTAL","PC","T","TOTAL","EE",2008-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","EL",2008-01-01,18.6
"TOTAL","TOTAL","PC","T","TOTAL","ES",2008-01-01,16.8
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2008-01-01,16.9
"TOTAL","TOTAL","PC","T","TOTAL","FI",2008-01-01,4.4
"TOTAL","TOTAL","PC","T","TOTAL","FR",2008-01-01,12.8
"TOTAL","TOTAL","PC","T","TOTAL","HU",2008-01-01,30.8
"TOTAL","TOTAL","PC","T","TOTAL","IE",2008-01-01,11.9
"TOTAL","TOTAL","PC","T","TOTAL","IT",2008-01-01,20.6
"TOTAL","TOTAL","PC","T","TOTAL","LT",2008-01-01,25.1
"TOTAL","TOTAL","PC","T","TOTAL","LU",2008-01-01,16.2
"TOTAL","TOTAL","PC","T","TOTAL","LV",2008-01-01,25.7
"TOTAL","TOTAL","PC","T","TOTAL","MT",2008-01-01,6.9
"TOTAL","TOTAL","PC","T","TOTAL","NL",2008-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","PL",2008-01-01,22.8
"TOTAL","TOTAL","PC","T","TOTAL","PT",2008-01-01,18.9
"TOTAL","TOTAL","PC","T","TOTAL","RO",2008-01-01,24
"TOTAL","TOTAL","PC","T","TOTAL","SE",2008-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2008-01-01,30.2
"TOTAL","TOTAL","PC","T","TOTAL","SK",2008-01-01,9.1
"TOTAL","TOTAL","PC","T","TOTAL","AT",2007-01-01,9.4
"TOTAL","TOTAL","PC","T","TOTAL","BE",2007-01-01,14.2
"TOTAL","TOTAL","PC","T","TOTAL","BG",2007-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","CH",2007-01-01,8.4
"TOTAL","TOTAL","PC","T","TOTAL","CY",2007-01-01,30.1
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2007-01-01,15.6
"TOTAL","TOTAL","PC","T","TOTAL","DE",2007-01-01,13.1
"TOTAL","TOTAL","PC","T","TOTAL","DK",2007-01-01,10.6
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2007-01-01,16.1
"TOTAL","TOTAL","PC","T","TOTAL","EE",2007-01-01,21.6
"TOTAL","TOTAL","PC","T","TOTAL","EL",2007-01-01,19.4
"TOTAL","TOTAL","PC","T","TOTAL","ES",2007-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","EU27_2007",2007-01-01,18
"TOTAL","TOTAL","PC","T","TOTAL","FI",2007-01-01,4.9
"TOTAL","TOTAL","PC","T","TOTAL","FR",2007-01-01,13.7
"TOTAL","TOTAL","PC","T","TOTAL","HU",2007-01-01,19.2
"TOTAL","TOTAL","PC","T","TOTAL","IE",2007-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","IT",2007-01-01,21.4
"TOTAL","TOTAL","PC","T","TOTAL","LT",2007-01-01,25.2
"TOTAL","TOTAL","PC","T","TOTAL","LU",2007-01-01,14.5
"TOTAL","TOTAL","PC","T","TOTAL","LV",2007-01-01,26.5
"TOTAL","TOTAL","PC","T","TOTAL","MT",2007-01-01,5.4
"TOTAL","TOTAL","PC","T","TOTAL","NL",2007-01-01,18.3
"TOTAL","TOTAL","PC","T","TOTAL","PL",2007-01-01,37.5
"TOTAL","TOTAL","PC","T","TOTAL","PT",2007-01-01,19.5
"TOTAL","TOTAL","PC","T","TOTAL","RO",2007-01-01,30.1
"TOTAL","TOTAL","PC","T","TOTAL","SE",2007-01-01,6.3
"TOTAL","TOTAL","PC","T","TOTAL","SI",2007-01-01,17.5
"TOTAL","TOTAL","PC","T","TOTAL","SK",2007-01-01,6.1
"TOTAL","TOTAL","PC","T","TOTAL","AT",2006-01-01,10.3
"TOTAL","TOTAL","PC","T","TOTAL","BE",2006-01-01,14.8
"TOTAL","TOTAL","PC","T","TOTAL","BG",2006-01-01,30.7
"TOTAL","TOTAL","PC","T","TOTAL","CY",2006-01-01,32.9
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2006-01-01,21.2
"TOTAL","TOTAL","PC","T","TOTAL","DE",2006-01-01,15.4
"TOTAL","TOTAL","PC","T","TOTAL","DK",2006-01-01,9
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2006-01-01,16.5
"TOTAL","TOTAL","PC","T","TOTAL","EE",2006-01-01,23.7
"TOTAL","TOTAL","PC","T","TOTAL","EL",2006-01-01,20.4
"TOTAL","TOTAL","PC","T","TOTAL","ES",2006-01-01,18.5
"TOTAL","TOTAL","PC","T","TOTAL","FI",2006-01-01,4.5
"TOTAL","TOTAL","PC","T","TOTAL","FR",2006-01-01,12
"TOTAL","TOTAL","PC","T","TOTAL","HU",2006-01-01,27
"TOTAL","TOTAL","PC","T","TOTAL","IE",2006-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","IT",2006-01-01,22
"TOTAL","TOTAL","PC","T","TOTAL","LT",2006-01-01,28.5
"TOTAL","TOTAL","PC","T","TOTAL","LU",2006-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","LV",2006-01-01,32.4
"TOTAL","TOTAL","PC","T","TOTAL","MT",2006-01-01,7.4
"TOTAL","TOTAL","PC","T","TOTAL","NL",2006-01-01,17.1
"TOTAL","TOTAL","PC","T","TOTAL","PL",2006-01-01,41.4
"TOTAL","TOTAL","PC","T","TOTAL","PT",2006-01-01,18.7
"TOTAL","TOTAL","PC","T","TOTAL","SE",2006-01-01,7.5
"TOTAL","TOTAL","PC","T","TOTAL","SI",2006-01-01,21.6
"TOTAL","TOTAL","PC","T","TOTAL","SK",2006-01-01,6.6
"TOTAL","TOTAL","PC","T","TOTAL","AT",2005-01-01,10
"TOTAL","TOTAL","PC","T","TOTAL","BE",2005-01-01,15
"TOTAL","TOTAL","PC","T","TOTAL","BG",2005-01-01,30.7
"TOTAL","TOTAL","PC","T","TOTAL","CY",2005-01-01,36.3
"TOTAL","TOTAL","PC","T","TOTAL","CZ",2005-01-01,20.5
"TOTAL","TOTAL","PC","T","TOTAL","DE",2005-01-01,14.2
"TOTAL","TOTAL","PC","T","TOTAL","DK",2005-01-01,8
"TOTAL","TOTAL","PC","T","TOTAL","EA18",2005-01-01,16.4
"TOTAL","TOTAL","PC","T","TOTAL","EE",2005-01-01,24.6
"TOTAL","TOTAL","PC","T","TOTAL","EL",2005-01-01,20.9
"TOTAL","TOTAL","PC","T","TOTAL","ES",2005-01-01,17.9
"TOTAL","TOTAL","PC","T","TOTAL","FI",2005-01-01,4.9
"TOTAL","TOTAL","PC","T","TOTAL","FR",2005-01-01,12.3
"TOTAL","TOTAL","PC","T","TOTAL","HU",2005-01-01,33.3
"TOTAL","TOTAL","PC","T","TOTAL","IE",2005-01-01,12.1
"TOTAL","TOTAL","PC","T","TOTAL","IT",2005-01-01,22.6
"TOTAL","TOTAL","PC","T","TOTAL","LT",2005-01-01,31.9
"TOTAL","TOTAL","PC","T","TOTAL","LU",2005-01-01,14.9
"TOTAL","TOTAL","PC","T","TOTAL","LV",2005-01-01,40.4
"TOTAL","TOTAL","PC","T","TOTAL","MT",2005-01-01,7.9
"TOTAL","TOTAL","PC","T","TOTAL","NL",2005-01-01,18.1
"TOTAL","TOTAL","PC","T","TOTAL","PL",2005-01-01,43.9
"TOTAL","TOTAL","PC","T","TOTAL","PT",2005-01-01,19.4
"TOTAL","TOTAL","PC","T","TOTAL","SE",2005-01-01,5.8
"TOTAL","TOTAL","PC","T","TOTAL","SI",2005-01-01,19
"TOTAL","TOTAL","PC","T","TOTAL","SK",2005-01-01,7.2
